,num,ra,dec,Rmag,redshift,ra_galex,dec_galex,fuv_mag,nuv_mag,fuv_magerr,nuv_magerr,fuv_flux,nuv_flux,fuv_fluxerr,nuv_fluxerr,angularsep
34,79,13.48659,-28.38827,24.79,0.29317,13.48753421553544,-28.40202009154056,,22.7267532,,0.53684485,,2.94644356,,1.45652211,49.59056386255949
35,80,13.49205,-28.40422,21.95,0.62787,13.49358223794343,-28.40468652758306,,21.5107937,,0.3604291,,9.029878,,2.9968977,5.134442468715537
36,83,13.54474,-28.37028,23.13,0.628,13.54491516847918,-28.3782743142547,19.75352,19.202776,0.174327046,0.09215275,45.5611038,75.6640244,7.31356573,6.42048645,28.784879324248784
37,84,13.54516,-28.39761,23.32,1.046,13.54047227358614,-28.39828638191474,,21.3266182,,0.315423965,,10.6992226,,3.10754251,15.043447987757816
38,85,13.53755,-28.38375,23.21,0.979,13.53805431735773,-28.3834546228873,21.6375866,,0.460561663,,8.034657,,3.407417,,1.9188677191479742
39,86,13.53298,-28.3665,23.75,0.1265,13.52959857790664,-28.35968358028074,,21.8951912,,0.423673421,,6.33756971,,2.472431,26.775184635697524
40,87,13.52876,-28.37394,23.12,1.102,13.53805431735773,-28.3834546228873,21.6375866,,0.460561663,,8.034657,,3.407417,,45.16494160125873
41,89,13.52628,-28.40238,22.79,0.6879,13.53755642425988,-28.40298585619871,,22.4501553,,0.5138618,,3.801349,,1.79868126,35.77509003986925
42,91,13.50394,-28.36725,23.17,0.688,13.50412824324282,-28.35565546550548,,22.313427,,0.5875947,,4.311502,,2.33279514,41.744583791204015
43,93,13.50662,-28.43862,23.46,0.2885,13.49885585927354,-28.42778314002673,,21.8334141,,0.5039114,,6.708634,,3.11285162,46.10998613654115
44,96,13.48804,-28.40045,23.27,0.7741,13.48753421553544,-28.40202009154056,,22.7267532,,0.53684485,,2.94644356,,1.45652211,5.874875767695854
45,97,13.4859,-28.42946,23.97,0.436,13.47865029757815,-28.42809976675024,,21.70958,,0.341284245,,7.519138,,2.36294961,23.468215762878497
46,102,13.46641,-28.36623,23.61,0.5133,13.46227575829664,-28.3671972285535,,22.7547226,,0.705619633,,2.87151337,,1.86574244,13.551155938110425
47,106,13.46003,-28.39164,22.89,0.6436,13.47067694007906,-28.39083935812829,,22.0454674,,0.440427572,,5.5183897,,2.23798418,33.84179009234033
48,107,13.46054,-28.42475,23.33,1.022,13.47007472424303,-28.4199377095691,,22.2146263,,0.473498076,,4.72225475,,2.058912,34.80544713916864
49,109,13.45555,-28.41175,0.0,0.8266,13.46480797793105,-28.40522079389358,,22.5718536,,0.582410932,,3.39827442,,1.82246053,37.574904394551275
50,110,13.45114,-28.392,23.1,0.797,13.44675156300673,-28.39465525037007,19.5455532,19.0554943,0.152097553,0.07734039,55.17986,86.6566,7.72810459,6.17132139,16.86783860759529
51,111,13.45428,-28.44966,22.75,0.6096,13.44725427807532,-28.46134132789966,,22.6454945,,0.591172636,,3.175424,,1.728567,47.57013378495974
52,112,13.4549,-28.44951,22.51,0.8366,13.46331913390297,-28.46068922957846,19.5508118,19.954998,0.158948034,0.127044424,54.9132919,37.8443222,8.037164,4.42717361,48.26754897660835
53,113,13.45126,-28.43824,22.98,1.301,13.45150827942997,-28.4324692158982,,22.4813862,,0.518248856,,3.6935575,,1.76259851,20.78968527887772
54,114,13.45027,-28.44664,23.24,1.214,13.45150827942997,-28.4324692158982,,22.4813862,,0.518248856,,3.6935575,,1.76259851,51.16519590052544
55,115,13.44752,-28.43847,21.17,0.6886,13.45150827942997,-28.4324692158982,,22.4813862,,0.518248856,,3.6935575,,1.76259851,25.021741829860648
56,117,13.4376,-28.38722,21.79,0.4479,13.44507517032437,-28.37970111724332,,22.60629,,0.5306217,,3.29217982,,1.60856533,35.961206005729935
57,118,13.43429,-28.37071,21.99,0.688,13.43844614600036,-28.37158412705202,,22.47854,,0.6716206,,3.70325375,,2.29022241,13.535870459145618
58,120,13.43749,-28.45215,21.71,0.5585,13.44725427807532,-28.46134132789966,,22.6454945,,0.591172636,,3.175424,,1.728567,45.27630212176559
59,121,13.43548,-28.45206,23.42,0.8823,13.44725427807532,-28.46134132789966,,22.6454945,,0.591172636,,3.175424,,1.728567,50.05169516132502
60,123,13.47871,-28.3861,22.07,0.64035,13.47067694007906,-28.39083935812829,,22.0454674,,0.440427572,,5.5183897,,2.23798418,30.632710270775313
61,127,13.464,-28.44285,22.65,0.5583,13.45150827942997,-28.4324692158982,,22.4813862,,0.518248856,,3.6935575,,1.76259851,54.40862434090931
62,128,13.45822,-28.39604,0.0,0.18642,13.44675156300673,-28.39465525037007,19.5455532,19.0554943,0.152097553,0.07734039,55.17986,86.6566,7.72810459,6.17132139,36.659620411931485
63,132,13.4443,-28.37561,20.17,0.2934,13.44704071855078,-28.37724418066411,,22.5941067,,0.499690235,,3.32933259,,1.53189218,10.486709057617455
64,134,13.44588,-28.42924,20.9,0.4191,13.45150827942997,-28.4324692158982,,22.4813862,,0.518248856,,3.6935575,,1.76259851,21.27506976067151
65,135,13.43624,-28.38396,0.0,0.69039,13.42857642773372,-28.38053951892968,,22.3455143,,0.4979788,,4.185945,,1.91944,27.217373613900303
66,137,13.43321,-28.38882,0.0,0.29502,13.42857642773372,-28.38053951892968,,22.3455143,,0.4979788,,4.185945,,1.91944,33.22631395494139
67,138,13.43693,-28.44907,21.53,0.55962,13.44725427807532,-28.46134132789966,,22.6454945,,0.591172636,,3.175424,,1.728567,54.9489539174639
68,141,13.50833,-28.38424,21.0,0.29477,13.48829219623025,-28.37403328231525,,22.6296921,,0.543497264,,3.22197723,,1.61246407,73.33609283109682
69,149,13.55563,-28.40617,20.49,0.43607,13.56067125777103,-28.41674777253328,,21.7004833,,0.357017577,,7.582391,,2.4926765,41.29030832980025
70,151,13.54459,-28.38795,22.23,0.49762,13.54482535450264,-28.38873982958423,,22.45693,,0.484573483,,3.77769852,,1.68561,2.9394640644516694
71,152,13.55109,-28.39275,22.43,0.1304,13.54482535450264,-28.38873982958423,,22.45693,,0.484573483,,3.77769852,,1.68561,24.536696860073537
72,156,13.54798,-28.37027,21.73,0.18348,13.54491516847918,-28.3782743142547,19.75352,19.202776,0.174327046,0.09215275,45.5611038,75.6640244,7.31356573,6.42048645,30.406865565164466
73,160,13.47803,-28.38478,22.81,0.20323,13.47067694007906,-28.39083935812829,,22.0454674,,0.440427572,,5.5183897,,2.23798418,31.908649277516748
74,161,13.48144,-28.39336,21.92,0.44612,13.47067694007906,-28.39083935812829,,22.0454674,,0.440427572,,5.5183897,,2.23798418,35.27348602820397
75,164,13.48628,-28.4112,21.83,0.4369,13.48321810055538,-28.41386192357071,,22.4108486,,0.480143726,,3.94149017,,1.74261677,13.631836419015388
76,171,13.45904,-28.41023,20.9,0.53328,13.46480797793105,-28.40522079389358,,22.5718536,,0.582410932,,3.39827442,,1.82246053,25.66670560525518
77,178,13.53943,-28.41253,19.41,0.44596,13.53755642425988,-28.40298585619871,,22.4501553,,0.5138618,,3.801349,,1.79868126,34.867347965045646
78,179,13.55183,-28.42207,22.07,0.46721,13.5484394195987,-28.42241418307164,,22.0626373,,0.5254802,,5.43180847,,2.62827635,10.806086860201143
79,181,13.52415,-28.3666,20.62,0.29389,13.52959857790664,-28.35968358028074,,21.8951912,,0.423673421,,6.33756971,,2.472431,30.296538020736527
80,182,13.55471,-28.39884,20.21,0.44675,13.56066262117981,-28.39448957366401,20.019392,19.9124088,0.1953644,0.126931176,35.6652222,39.3582954,6.41594362,4.600179,24.50801097538182
81,183,13.56937,-28.41292,22.37,0.43523,13.56067125777103,-28.41674777253328,,21.7004833,,0.357017577,,7.582391,,2.4926765,30.79758321832032
82,184,13.56618,-28.39295,0.0,0.07428,13.56066262117981,-28.39448957366401,20.019392,19.9124088,0.1953644,0.126931176,35.6652222,39.3582954,6.41594362,4.600179,18.33108118071617
83,185,13.54026,-28.35512,20.8,0.20313,13.52959857790664,-28.35968358028074,,21.8951912,,0.423673421,,6.33756971,,2.472431,37.55915445433997
84,186,13.57899,-28.39945,20.89,0.60118,13.56971821002814,-28.40209234764428,,22.3652515,,0.5144485,,4.11053753,,1.94720066,30.86357326625246
85,187,13.56912,-28.37923,22.24,0.51405,13.57645338456109,-28.38963801110134,,22.1637325,,0.431040674,,4.94887257,,1.96424067,44.083724278865176
86,188,13.49494,-28.41673,21.11,0.36317,13.49267323055165,-28.41477545277933,,22.3088741,,0.45572567,,4.32962465,,1.81687009,10.050998239214977
87,189,13.47585,-28.39828,20.78,0.29694,13.47067694007906,-28.39083935812829,,22.0454674,,0.440427572,,5.5183897,,2.23798418,31.398955269136128
88,191,13.48065,-28.41647,21.62,0.63716,13.48321810055538,-28.41386192357071,,22.4108486,,0.480143726,,3.94149017,,1.74261677,12.42067828286029
89,192,13.47015,-28.4109,20.5,0.4075,13.46480797793105,-28.40522079389358,,22.5718536,,0.582410932,,3.39827442,,1.82246053,26.535585787707973
90,193,13.46413,-28.41636,21.25,0.2941,13.47007472424303,-28.4199377095691,,22.2146263,,0.473498076,,4.72225475,,2.058912,22.807039295680173
91,194,13.45989,-28.42263,23.21,0.532,13.47007472424303,-28.4199377095691,,22.2146263,,0.473498076,,4.72225475,,2.058912,33.67096506846984
92,196,13.45574,-28.4267,23.17,0.6482,13.45150827942997,-28.4324692158982,,22.4813862,,0.518248856,,3.6935575,,1.76259851,24.715140484232716
93,197,13.48752,-28.36655,21.84,0.46922,13.48829219623025,-28.37403328231525,,22.6296921,,0.543497264,,3.22197723,,1.61246407,27.050633026721748
94,198,13.5145,-28.36144,21.55,0.44658,13.50412824324282,-28.35565546550548,,22.313427,,0.5875947,,4.311502,,2.33279514,38.90069485487428
95,204,13.46638,-28.38775,21.26,0.44855,13.47067694007906,-28.39083935812829,,22.0454674,,0.440427572,,5.5183897,,2.23798418,17.57518632127919
96,205,13.469,-28.39166,21.86,0.68833,13.47067694007906,-28.39083935812829,,22.0454674,,0.440427572,,5.5183897,,2.23798418,6.077270639403591
97,210,13.51326,-28.4002,19.3,0.29316,13.52442935213248,-28.41510001695875,,22.173336,,0.472773343,,4.905293,,2.13544345,64.25059562493976
98,214,13.5485,-28.42296,19.8,0.29266,13.5484394195987,-28.42241418307164,,22.0626373,,0.5254802,,5.43180847,,2.62827635,1.9742797476972114
99,218,13.54348,-28.4349,21.27,0.438,13.54263680111339,-28.43550632389238,,21.8814335,,0.3986853,,6.418395,,2.35627985,3.4481340711632567
100,221,13.49794,-28.46295,21.71,0.50376,13.49390625475212,-28.47286700836851,,22.47713,,0.5523269,,3.708066,,1.88587916,37.914885529880976
101,222,13.48176,-28.46846,19.36,0.29452,13.47811867641354,-28.46966853922071,,21.8972187,,0.386736,,6.32574844,,2.25266528,12.317544496623468
102,223,13.51633,-28.46253,20.5,0.56082,13.53139618393669,-28.4685462592281,,22.8683071,,0.6207797,,2.58628535,,1.47837329,52.36961475431864
103,226,13.5321,-28.46517,22.4,1.00453,13.53139618393669,-28.4685462592281,,22.8683071,,0.6207797,,2.58628535,,1.47837329,12.356939305425346
104,227,13.53192,-28.46594,22.47,1.00404,13.53139618393669,-28.4685462592281,,22.8683071,,0.6207797,,2.58628535,,1.47837329,9.527854311400814
105,231,13.5093,-28.37683,19.65,0.29279,13.48829219623025,-28.37403328231525,,22.6296921,,0.543497264,,3.22197723,,1.61246407,67.29894398403405
106,233,13.50526,-28.39335,20.91,0.63909,13.49358223794343,-28.40468652758306,,21.5107937,,0.3604291,,9.029878,,2.9968977,55.074059503091135
107,234,13.55956,-28.41889,19.51,0.46605,13.56067125777103,-28.41674777253328,,21.7004833,,0.357017577,,7.582391,,2.4926765,8.476723650688603
108,235,13.49913,-28.4367,21.0,0.29384,13.49330348114805,-28.43143571781124,,20.6816483,,0.195167631,,19.379385,,3.48271513,26.445757081877954
