# Spectral Indices Definitions
# 
#ID  name        units       centr_b   centr_r     pcont_bb  pcont_br    pcont_rb  pcont_rr     latex_name       latex_units  ref.                                                    
058  Fe5270      A           5245.650  5285.650    5233.150  5248.150    5285.650  5318.150     Fe5270           \AA          1    
059  Fe5335      A           5312.125  5352.125    5304.625  5315.875    5353.375  5363.375     Fe5335           \AA          1    
060  Fe5406      A           5387.500  5415.000    5376.250  5387.500    5415.000  5425.000     Fe5406           \AA          1    
061  Fe5709      A           5696.625  5720.375    5672.875  5696.625    5722.875  5736.625     Fe5709           \AA          1    
062  Fe5782      A           5776.625  5796.625    5765.375  5775.375    5797.875  5811.625     Fe5782           \AA          1    
063  NaD         A           5876.875  5909.375    5860.625  5875.625    5922.125  5948.125     NaD              \AA          1    
064  TiO1        mag         5936.625  5994.125    5816.625  5849.125    6038.625  6103.625     TiO_1            mag          1    
065  TiO2        mag         6189.625  6272.125    6066.625  6141.625    6372.625  6415.125     TiO_2            mag          1    
066  CaT_ast     general        0.000     0.000       0.000     0.000       0.000     0.000     CaT^{\ast}       \AA          8    
067  Hdelta      A           4070.000  4130.000    4030.000  4070.000    4130.000  4180.000     H\delta          \AA          2    
068  OII3728     A           3700.000  3750.000    3650.000  3700.000    3750.000  3780.000     OII3728          \AA          2
#
#
# .. references::
#    1   Trager et al. (1998)
#    2   Worthey & Ottaviani (1997)
#    3   Maraston et al. (2009)
#    4   Daddi et al. (2005)
#    5   Bruzual et al. (1983)
#    6   Balogh et al. (1999)
#    7   Spinrad et al. (1997)
#    8   Cenarro et al. (2001)
#    9   Fanfani (2019)
#    10  Talia et al. ()
