,num,ra,dec,Rmag,redshift,ID,KIDS_TILE,RAJ2000,DECJ2000,FLUX_RADIUS,CLASS_STAR,MAG_GAAP_u,MAG_GAAP_g,MAG_GAAP_r,MAG_GAAP_i,MAG_GAAP_Z,MAG_GAAP_Y,MAG_GAAP_J,MAG_GAAP_H,MAG_GAAP_Ks,MAGERR_GAAP_u,MAGERR_GAAP_g,MAGERR_GAAP_r,MAGERR_GAAP_i,MAGERR_GAAP_Z,MAGERR_GAAP_Y,MAGERR_GAAP_J,MAGERR_GAAP_H,MAGERR_GAAP_Ks,FLUX_GAAP_u,FLUXERR_GAAP_u,FLUX_GAAP_g,FLUXERR_GAAP_g,FLUX_GAAP_r,FLUXERR_GAAP_r,FLUX_GAAP_i,FLUXERR_GAAP_i,FLUX_GAAP_Z,FLUXERR_GAAP_Z,FLUX_GAAP_Y,FLUXERR_GAAP_Y,FLUX_GAAP_J,FLUXERR_GAAP_J,FLUX_GAAP_H,FLUXERR_GAAP_H,FLUX_GAAP_Ks,FLUXERR_GAAP_Ks,Z_B,Z_ML,EXTINCTION_u,EXTINCTION_g,EXTINCTION_r,EXTINCTION_i,angularsep
10,33,13.575,-28.43938,19.21,0.44741,KiDSDR4 J005418.015-282622.16 ,KIDS_13.5_-28.2 ,13.575065,-28.43949,7.009544849395752,0.02852644957602024,23.9959774017334,21.857683181762695,20.156959533691406,19.488203048706055,19.02353858947754,18.819103240966797,18.502225875854492,18.175582885742188,17.895296096801758,0.5310978293418884,0.02211805246770382,0.005693424958735704,0.011500894092023373,0.00895311962813139,0.014747699722647667,0.009231610223650932,0.014117199927568436,0.012473500333726406,2.269199966820068e-10,1.110000008575085e-10,1.6690000492758372e-09,3.400000073150444e-11,8.009400254138654e-09,4.200000069953802e-11,1.6803999969283723e-08,1.780000036255558e-10,24081.310546875,198.57766723632812,29152.08203125,395.9779052734375,39276.34765625,333.95220947265625,53283.24609375,692.8119506835938,69142.2734375,794.3408203125,0.48000000000000004,0.48000000000000004,0.07470052689313889,0.05820614844560623,0.0402667410671711,0.02992250956594944,0.44626632928374493
11,34,13.57391,-28.44285,20.63,0.63013,KiDSDR4 J005417.747-282634.61 ,KIDS_13.5_-28.2 ,13.573946,-28.442948,6.146769046783447,0.010435669682919979,22.83273696899414,22.45069122314453,21.32365608215332,20.70961570739746,20.170578002929688,19.961923599243164,19.62090301513672,19.272729873657227,18.970930099487305,0.19822269678115845,0.03918773680925369,0.014725749380886555,0.03223422169685364,0.024023300036787987,0.03885259851813316,0.023462599143385887,0.035054899752140045,0.030443299561738968,6.627600135367118e-10,1.210000016849122e-10,9.669399725353856e-10,3.4899999556969874e-11,2.7353999065837797e-09,3.7100000155332324e-11,5.456600060682604e-09,1.6199999675059473e-10,8373.529296875,185.2752227783203,10176.4501953125,364.1600036621094,14017.6484375,302.9188232421875,19398.775390625,626.3242797851562,25675.64453125,719.9280395507812,0.74,0.73,0.07423421740531921,0.05784279853105545,0.04001538082957268,0.02973571978509426,0.3707477196933263
12,35,13.57178,-28.43542,20.26,0.44862,KiDSDR4 J005417.233-282607.88 ,KIDS_13.5_-28.2 ,13.571805,-28.435523,3.9010350704193115,0.0324958898127079,24.1312198638916,22.663480758666992,20.843793869018555,20.12997055053711,19.676904678344727,19.485084533691406,19.076648712158203,18.761133193969727,18.5025634765625,0.6885473132133484,0.04469681158661842,0.00855071097612381,0.01703902706503868,0.014205699786543846,0.02295530028641224,0.012805299833416939,0.019642699509859085,0.017819199711084366,2.002600030248658e-10,1.2699999385468175e-10,7.943199986648608e-10,3.2699998958607424e-11,4.253700058853838e-09,3.350000138402365e-11,9.30319998815321e-09,1.4600000375342148e-10,13190.76171875,172.5865478515625,15784.9150390625,333.73419189453125,23136.701171875,272.8762512207031,31070.46875,562.114013671875,39523.80859375,648.6670532226562,0.48000000000000004,0.48000000000000004,0.0751572698354721,0.0585620291531086,0.04051294922828674,0.030105460435152054,0.37915178131237187
13,36,13.5687,-28.43129,19.96,0.82266,KiDSDR4 J005416.476-282552.65 ,KIDS_13.5_-28.2 ,13.568653,-28.431293,4.946753978729248,0.028450660407543182,21.468746185302734,21.38075828552246,20.902856826782227,20.298511505126953,19.73755645751953,19.682958602905273,19.323366165161133,19.09758186340332,18.757728576660156,0.06071305274963379,0.013971333391964436,0.009165742434561253,0.023721210658550262,0.01531170029193163,0.028074199333786964,0.01634320057928562,0.02719940058887005,0.022954899817705154,2.32479990813772e-09,1.2999999687846042e-10,2.5877999743073588e-09,3.330000164503133e-11,4.027500111192239e-09,3.400000073150444e-11,7.96409960202027e-09,1.7399999496792162e-10,12472.619140625,175.89614868164062,13152.8935546875,340.0985107421875,18433.390625,277.47210693359375,22790.65234375,570.9418334960938,31244.4921875,660.5779418945312,1.0,1.0,0.07565045356750488,0.05894631892442703,0.040778789669275284,0.03030301071703434,0.1491840055773735
14,37,13.56332,-28.39934,21.33,0.68905,KiDSDR4 J005415.207-282357.94 ,KIDS_13.5_-28.2 ,13.563366,-28.399428,3.8927791118621826,0.0186330396682024,23.819591522216797,23.33794403076172,21.988468170166016,21.10696792602539,20.59758186340332,20.438173294067383,19.961397171020508,19.724594116210938,19.54210090637207,0.5244127511978149,0.08914048224687576,0.027294838801026344,0.04598398506641388,0.03675289824604988,0.057230498641729355,0.03001300059258938,0.051292501389980316,0.046682801097631454,2.6915000783667153e-10,1.2999999687846042e-10,4.2751999163037624e-10,3.509999929596219e-11,1.4876999632207344e-09,3.73999997638208e-11,3.801400083602857e-09,1.6100000499452705e-10,5641.40625,190.9653778076172,6553.36328125,345.4358825683594,10234.58203125,282.91461181640625,12786.845703125,604.077880859375,15166.3671875,652.099365234375,0.76,0.76,0.08025941252708435,0.06253758817911148,0.043263211846351624,0.03214919939637184,0.34868636108946105
15,45,13.54055,-28.44539,22.11,1.10116,KiDSDR4 J005409.749-282643.72 ,KIDS_13.5_-28.2 ,13.540623,-28.445478,3.9533259868621826,0.001216250006109476,24.288211822509766,23.643463134765625,22.923437118530273,22.205413818359375,21.285310745239258,20.837493896484375,20.52984619140625,20.2675838470459,19.66073226928711,0.7340640425682068,0.11312540620565414,0.06055185943841934,0.13787126541137695,0.0641947016119957,0.08361899852752686,0.05102989822626114,0.08189109712839127,0.054418500512838364,1.7600999824285424e-10,1.1900000429498903e-10,3.244000068569619e-10,3.3800000992512125e-11,6.311600131425621e-10,3.519999916545835e-11,1.3859999814513912e-09,1.760000062356326e-10,3000.510009765625,177.40660095214844,4544.7177734375,350.0157165527344,6070.05517578125,285.294189453125,7760.0107421875,585.2947998046875,13602.947265625,681.7968139648438,1.11,1.11,0.07278023660182953,0.05670987069606781,0.03923162817955017,0.02915330044925213,0.39211824701500353
16,47,13.52895,-28.41771,0.0,0.29369,KiDSDR4 J005407.396-282504.02 ,KIDS_13.5_-28.2 ,13.53082,-28.417783999999997,2.7977640628814697,0.24106550216674805,,24.209096908569336,22.732187271118164,22.294387817382812,21.978656768798828,21.522157669067383,21.55866813659668,21.290081024169922,21.334428787231445,,0.21513701975345612,0.0501224510371685,0.14554789662361145,0.09915599972009659,0.1546570062637329,0.12903200089931488,0.20499199628829956,0.24867600202560425,,,1.9227999747961633e-10,3.8099998850293915e-11,7.516600120105466e-10,3.4699999817977556e-11,1.275599958994178e-09,1.7100000582193076e-10,1583.14599609375,144.58245849609375,2417.453857421875,344.352294921875,2352.180419921875,279.5389709472656,3025.36181640625,571.2025756835938,2911.383056640625,666.8209838867188,0.49,0.49,0.07564626634120941,0.05894305929541588,0.04077653959393501,0.03030133992433548,5.926792297552662
17,49,13.52328,-28.40698,21.87,0.68613,KiDSDR4 J005405.599-282425.51 ,KIDS_13.5_-28.2 ,13.523333000000001,-28.407088,3.299690008163452,0.01707836054265499,23.42422103881836,22.983985900878906,22.237287521362305,21.579023361206055,21.38834571838379,21.17757797241211,20.871849060058594,20.717308044433594,20.536579132080078,0.3099869191646576,0.06946254521608353,0.03728124499320984,0.0612340047955513,0.07435479760169983,0.10896199941635132,0.06658150255680084,0.12425100058317184,0.10997799783945084,3.887800081869841e-10,1.110000008575085e-10,5.939599923010519e-10,3.7999998980797756e-11,1.1852999692862909e-09,4.0699998926641e-11,2.4646000795769396e-09,1.3900000594979645e-10,2726.324951171875,186.70782470703125,3319.843994140625,333.17181396484375,4427.4873046875,271.51025390625,5126.57080078125,586.6796264648438,6069.96826171875,614.8489379882812,0.72,0.73,0.07635658234357834,0.05949652940034866,0.04115942120552063,0.030585860833525658,0.4234748410398179
18,51,13.49064,-28.41398,21.28,0.62989,KiDSDR4 J005357.763-282450.60 ,KIDS_13.5_-28.2 ,13.490680000000001,-28.414057,3.0044820308685303,0.029697740450501442,22.44399070739746,22.176136016845703,21.551288604736328,21.26082420349121,21.114721298217773,20.870502471923828,20.84564971923828,20.54378890991211,20.68443489074707,0.12751592695713043,0.02885015681385994,0.01725628413259983,0.05119694396853447,0.04557809978723526,0.06854739785194397,0.06945060193538666,0.10642600059509277,0.1041790023446083,9.621400343107211e-10,1.1299999824743168e-10,1.2531999882270384e-09,3.330000164503133e-11,2.233599971646072e-09,3.549999877394683e-11,3.308300078330717e-09,1.560000045808252e-10,3511.177978515625,147.3957977294922,4408.89501953125,278.3533020019531,4538.125,290.2872009277344,6017.1728515625,589.8158569335938,5298.56494140625,508.4116516113281,0.59,0.58,0.07275047153234482,0.05668666958808899,0.0392155796289444,0.02914137952029705,0.30476339928115187
19,55,13.5805,-28.43802,20.55,0.44889,KiDSDR4 J005419.328-282617.18 ,KIDS_13.5_-28.2 ,13.580537,-28.438108,3.3724610805511475,0.03237299993634224,23.000699996948242,22.581790924072266,21.08049201965332,20.422210693359375,19.950557708740234,19.76093101501465,19.488079071044922,19.15875244140625,18.854677200317383,0.25450828671455383,0.03955046087503433,0.010029601864516735,0.02107839845120907,0.017724599689245224,0.028246499598026276,0.017760900780558586,0.026894299313426018,0.023220999166369438,5.673799763350473e-10,1.329999999022391e-10,8.564999820492858e-10,3.120000091616504e-11,3.4208000876390088e-09,3.1600000394149674e-11,7.108300170699522e-09,1.3800000031594095e-10,10253.0,167.38018798828125,12243.8896484375,318.5368957519531,15839.4501953125,259.10760498046875,21542.701171875,533.62451171875,28575.716796875,611.1570434570312,0.55,0.58,0.07497555017471313,0.058420438319444656,0.04041498899459839,0.030032670125365257,0.3377587776811253
