,num,ra,dec,Rmag,redshift,ID,KIDS_TILE,RAJ2000,DECJ2000,FLUX_RADIUS,CLASS_STAR,MAG_GAAP_u,MAG_GAAP_g,MAG_GAAP_r,MAG_GAAP_i,MAG_GAAP_Z,MAG_GAAP_Y,Z_B,Z_ML,EXTINCTION_u,EXTINCTION_g,EXTINCTION_r,EXTINCTION_i,angularsep
0,2,13.52997,-28.44776,21.18,0.34555,KiDSDR4 J005407.202-282652.18 ,KIDS_13.5_-28.2 ,13.530012,-28.447828,2.967994,0.04272303,,22.848028,21.570145,20.993923,20.62259,20.378963,0.64,0.65,0.07251725,0.05650495,0.03908986,0.02904796,0.2785692660020207
1,3,13.52552,-28.4208,21.45,0.6866,KiDSDR4 J005406.135-282515.22 ,KIDS_13.5_-28.2 ,13.525566,-28.420897,3.0209739208221436,0.026643499732017517,23.34685516357422,22.941314697265625,21.863622665405273,21.14830780029297,20.749330520629883,20.567508697509766,0.76,0.76,0.07506514340639114,0.05849025025963783,0.04046327993273735,0.03006855957210064,0.37835430474629095
2,9,13.50219,-28.40641,21.6,0.29266,KiDSDR4 J005400.531-282423.36 ,KIDS_13.5_-28.2 ,13.502216,-28.406491000000003,2.671783924102783,0.04139978066086769,,23.450843811035156,21.97775650024414,21.558429718017578,21.216758728027344,21.236705780029297,0.38,0.24000000000000002,0.0742989182472229,0.05789322033524513,0.040050260722637177,0.029761629179120064,0.3029996771745446
3,13,13.49261,-28.38272,23.14,0.6887,KiDSDR4 J005358.235-282258.04 ,KIDS_13.5_-28.2 ,13.492649,-28.38279,2.1929280757904053,0.577261209487915,23.861921310424805,23.616483688354492,23.223907470703125,23.105886459350586,22.334182739257812,23.365663528442383,0.7899999999999999,0.7899999999999999,0.07757242769002914,0.06044391170144081,0.04181481897830963,0.031072890385985374,0.28064545334103225
4,19,13.60758,-28.43452,21.7,0.48395,KiDSDR4 J005425.830-282604.52 ,KIDS_13.5_-28.2 ,13.607625,-28.434589000000003,2.9920759201049805,0.08797255158424377,24.18699073791504,23.808002471923828,22.011512756347656,21.487327575683594,21.10015869140625,20.862760543823242,0.38,0.39,0.07564196735620499,0.05893971025943756,0.04077421873807907,0.03029962070286274,0.2863501973435273
5,24,13.59032,-28.37749,21.77,0.46612,KiDSDR4 J005421.678-282239.31 ,KIDS_13.5_-28.2 ,13.590326000000001,-28.377588,4.229931831359863,0.0016199219971895218,24.25982093811035,23.89012336730957,22.34091567993164,21.558271408081055,21.116432189941406,20.8402156829834,0.6599999999999999,0.6699999999999999,0.08009716123342514,0.06241115927696228,0.043175749480724335,0.03208421170711517,0.35331148941848045
6,25,13.59405,-28.44029,22.34,0.4481,KiDSDR4 J005422.577-282625.34 ,KIDS_13.5_-28.2 ,13.594072,-28.440373,2.4305930137634277,0.059326041489839554,23.460500717163086,23.625606536865234,22.586524963378906,22.302156448364258,22.077606201171875,21.80117416381836,0.51,0.51,0.07480672746896744,0.058288898319005966,0.04032399132847786,0.029965050518512726,0.3068084045858414
7,30,13.5803,-28.43544,21.08,0.29032,KiDSDR4 J005419.282-282607.82 ,KIDS_13.5_-28.2 ,13.580344,-28.435507,3.4448320865631104,0.026891840621829033,23.270591735839844,22.41463279724121,21.467060089111328,21.043415069580078,20.741954803466797,20.67464256286621,0.5700000000000001,0.29000000000000004,0.07532346248626709,0.05869153141975403,0.04060253128409386,0.03017202951014042,0.27853016021037935
8,31,13.57201,-28.38038,21.32,0.63267,KiDSDR4 J005417.289-282249.68 ,KIDS_13.5_-28.2 ,13.572039,-28.380468,3.6109259128570557,0.01758830063045025,23.86748504638672,23.06836700439453,21.83706283569336,20.964370727539062,20.525075912475586,20.045568466186523,0.8,0.81,0.08028216660022736,0.06255532801151276,0.04327547922730446,0.032158318907022476,0.32984705503963846
9,32,13.57901,-28.43941,0.0,0.45335,KiDSDR4 J005419.326-282623.74 ,KIDS_13.5_-28.2 ,13.580529,-28.439929,2.7405459880828857,0.4629560112953186,24.220905303955078,24.199020385742188,24.223167419433594,,23.59803009033203,22.895492553710938,1.37,1.63,0.07473340630531311,0.05823175981640816,0.04028446972370148,0.029935669153928757,5.158709748237219
10,33,13.575,-28.43938,19.21,0.44741,KiDSDR4 J005418.015-282622.16 ,KIDS_13.5_-28.2 ,13.575065,-28.43949,7.009544849395752,0.02852644957602024,23.9959774017334,21.857683181762695,20.156959533691406,19.488203048706055,19.02353858947754,18.819103240966797,0.48000000000000004,0.48000000000000004,0.07470052689313889,0.05820614844560623,0.0402667410671711,0.02992250956594944,0.44626632928374493
11,34,13.57391,-28.44285,20.63,0.63013,KiDSDR4 J005417.747-282634.61 ,KIDS_13.5_-28.2 ,13.573946,-28.442948,6.146769046783447,0.010435669682919979,22.83273696899414,22.45069122314453,21.32365608215332,20.70961570739746,20.170578002929688,19.961923599243164,0.74,0.73,0.07423421740531921,0.05784279853105545,0.04001538082957268,0.02973571978509426,0.3707477196933263
12,35,13.57178,-28.43542,20.26,0.44862,KiDSDR4 J005417.233-282607.88 ,KIDS_13.5_-28.2 ,13.571805,-28.435523,3.9010350704193115,0.0324958898127079,24.1312198638916,22.663480758666992,20.843793869018555,20.12997055053711,19.676904678344727,19.485084533691406,0.48000000000000004,0.48000000000000004,0.0751572698354721,0.0585620291531086,0.04051294922828674,0.030105460435152054,0.37915178131237187
13,36,13.5687,-28.43129,19.96,0.82266,KiDSDR4 J005416.476-282552.65 ,KIDS_13.5_-28.2 ,13.568653,-28.431293,4.946753978729248,0.028450660407543182,21.468746185302734,21.38075828552246,20.902856826782227,20.298511505126953,19.73755645751953,19.682958602905273,1.0,1.0,0.07565045356750488,0.05894631892442703,0.040778789669275284,0.03030301071703434,0.1491840055773735
14,37,13.56332,-28.39934,21.33,0.68905,KiDSDR4 J005415.207-282357.94 ,KIDS_13.5_-28.2 ,13.563366,-28.399428,3.8927791118621826,0.0186330396682024,23.819591522216797,23.33794403076172,21.988468170166016,21.10696792602539,20.59758186340332,20.438173294067383,0.76,0.76,0.08025941252708435,0.06253758817911148,0.043263211846351624,0.03214919939637184,0.34868636108946105
15,45,13.54055,-28.44539,22.11,1.10116,KiDSDR4 J005409.749-282643.72 ,KIDS_13.5_-28.2 ,13.540623,-28.445478,3.9533259868621826,0.001216250006109476,24.288211822509766,23.643463134765625,22.923437118530273,22.205413818359375,21.285310745239258,20.837493896484375,1.11,1.11,0.07278023660182953,0.05670987069606781,0.03923162817955017,0.02915330044925213,0.39211824701500353
16,47,13.52895,-28.41771,0.0,0.29369,KiDSDR4 J005407.396-282504.02 ,KIDS_13.5_-28.2 ,13.53082,-28.417783999999997,2.7977640628814697,0.24106550216674805,,24.209096908569336,22.732187271118164,22.294387817382812,21.978656768798828,21.522157669067383,0.49,0.49,0.07564626634120941,0.05894305929541588,0.04077653959393501,0.03030133992433548,5.926792297552662
